Proportion: 90%
Accuracy for K=7: 0.6753
Correct predictions for K=7: 52
Incorrect predictions for K=7: 25

Accuracy for K=9: 0.6494
Correct predictions for K=9: 50
Incorrect predictions for K=9: 27

 y_test  y_pred_7  y_pred_9
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      0         1         0
      0         1         1
      0         0         0
      0         0         1
      0         1         1
      0         1         1
      1         0         0
      0         1         1
      1         0         0
      0         0         0
      0         0         0
      1         1         1
      0         0         0
      0         0         0
      1         1         1
      1         0         0
      0         1         1
      0         0         0
      0         0         1
      0         0         0
      0         1         1
      1         1         1
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      1         1         1
      1         1         1
      1         1         1
      1         1         1
      0         0         0
      1         0         0
      1         1         1
      1         0         0
      0         0         0
      1         1         1
      0         0         0
      0         1         1
      0         1         1
      1         1         1
      0         0         0
      1         1         1
      1         0         0
      0         0         0
      0         0         1
      0         1         1
      0         0         0
      1         1         1
      1         1         1
      1         0         0
      0         0         0
      0         0         0
      0         1         1
      0         0         0
      0         0         0
      1         1         1
      1         1         1
      0         0         0
      0         0         1
      1         0         0
      0         0         0
      0         1         1
      0         0         0
      1         1         1
      0         0         0
      1         1         1
      0         1         1
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      0         1         1
      0         1         0
